Name,Type,Chapter,Episode,Year,Note,Number,Appears in
Gordon,Game,,,2019,,,One Piece: World Seeker
Gorilla,Canon,596.0,0514,2010,,,
Gorishiro,Canon,978.0,0982,2020,His name was revealed in Chapter 997.,,
Goro,Canon,316.0,Stampede,2004,Cover story character.,,
Gorobe,Canon,924.0,0916,2018,,,
Gotan,Filler,,,2012,,548,Fish-Man Island Arc
Gotti,Canon,825.0,0783,2016,,,
Governor,TV special,,,2003,,3,Protect! The Last Great Performance
Gowns Brothers,Filler,,,2000,,048,Loguetown Arc
Grabar,Canon,717.0,0647,2013,Her name was revealed in SBS Volume 73.,,
Gram,Canon,391.0,0275,2005,Her name revealed in Color Walk 4.,,
Gramoo,Game,,,2023,,,One Piece Odyssey
Graydle,Stage Play,,,2018,,1,One Piece Dramatic Stage THE METAL ~Marineford of Remembrance~
Great Ground,Game,,,2001,,,Legend of the Rainbow Island
Great King of Angolmois,Author's Note,,,1999,,9,Volume 9
Great Michael,Canon,563.0,,2009,His name was revealed in the Green databook.,,
Great Tree,Game,,,2008,,,One Piece: Unlimited Cruise
Grin,Game,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Grizzly,Game,,,2019,,,One Piece: World Seeker
Gross,Game,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Guarana,Filler,,,2019,,895,Cidre Guild Arc
Guard,Game,,,2023,,,One Piece Odyssey
Guardian Deity,One-Shot,,,1994,,,Ikki Yako
Guernika,Canon,705.0,0635,2013,"His name was revealed in Chapter 1053, although his identity was not clear until SBS Volume 104.",,
Guillotine,Canon,1078.0,1111,2023,His name was revealed in Chapter 1108.,,
Guko,One-Shot,,,1994,,,Ikki Yako
Gulf,Game,,,2023,,,One Piece Odyssey
Gum,Filler,,,2018,,830,Whole Cake Island Arc
Gunko,Canon,1134.0,,2024,Her name was revealed in Chapter 1136.,,
Gurutaro,Canon,960.0,0960,2019,His name was revealed in the Vivre Card databook.,,
Guyle,Filler,,,2007,,326,Ice Hunter Arc
Gyaro,Canon,197.0,0386,2001,His name was revealed in the Blue databook. He is formally introduced in Chapter 492.,,
Gyogyo,Canon,498.0,0392,2008,His name was revealed in Chapter 1097.,,
Gyoro,Canon,449.0,0343,2007,,,
Gyoru,Canon,1.0,0045,1997,His name was revealed in the Blue databook.,,
Gyro,Canon,611.0,0530,2011,His name was revealed in Chapter 611.,,
Hachigoro,Live Performance,,,2016,,,Sanji's Pirates Restaurant
Hack,Canon,706.0,0633,2013,,,
Hack,Canon,391.0,0275,2005,His name revealed in Color Walk 4.,,
Hajrudin,Canon,706.0,0639,2013,He was first mentioned by Maynard in Chapter 705.,,
Hakamori,Game,,,2019,,,One Piece: World Seeker
Hakowan,Canon,245.0,0778,2002,His name was revealed in the Blue Deep databook.,,
Hakugan,Canon,810.0,0757,2015,His name was revealed by Trafalgar D. Water Law in Chapter 1064.,,
Hakuto,Premier Show,,,2017,,9,One Piece Premier Show 2017
Halsey,Game,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Ham Burger,Canon,823.0,0777,2016,His name was revealed in Chapter 905.,,
Hamburg,Canon,305.0,0207,2004,,,
Hamlet,Canon,994.0,0982,2020,,,
Hammond,Canon,607.0,0526,2010,,,
Hamu,TV special,,,2000,,1,Adventure in the Ocean's Navel
Han,Canon,940.0,0937,2019,,,
Hana,Canon,971.0,0973,2020,,,
Hanafuda,Canon,,,2024,He was first alluded to in Chapter 1100 and named in SBS Volume 109.,,
Hanagasa,Movie,,,2022,,15,One Piece Film: Red
Hangan,Canon,556.0,0465,2009,His name was revealed in the Green databook.,,
Hanger,Canon,97.0,0048,1999,His name was revealed in the Blue databook.,,
Hanji,Canon,929.0,0922,2019,His name was revealed in Vivre Card.,,
Hanji,Canon,949.0,0947,2019,His name was revealed in the captions of Episode 947.,,
Hannah,Stage Show,,,2018,,,Tongari Pirates Wanted!
Hannyabal,Canon,525.0,0422,2008,,,
Hans,Live Performance,,,2023,,,Sanji's Pirates Restaurant
Hanzo,Canon,931.0,0925,2019,His name was revealed by Shinobu in Chapter 933.,,
Happa Yamao,Canon,341.0,0241,2004,His name was revealed in SBS Volume 76.,,
Happygun,Canon,578.0,,2010,His name was revealed in the Green databook.,,
Hara,Canon,919.0,0909,2018,His name was revealed in Vivre Card.,,
Haraguroya's Owner,Spin-Off,,,2022,,5,Shokugeki no Sanji
Harald,Canon,1130.0,,2024,Mentioned only character.,,
Harasho,Game,,,2003,,,One Piece: Ocean's Dream!
Hardy,Filler,,,2001,,054,Warship Island Arc
Haredas,Canon,523.0,0418,2008,His name was revealed in Episode 418 credits. He is formally introduced in the manga in Chapter 592.,,
Hareji,Canon,948.0,0947,2019,His name was revealed in the Vivre Card databook.,,
Haritsu Kendiyo,Canon,594.0,0511,2010,His name was revealed in the Blue Deep databook.,,
Harry,Filler,,,2002,,135,Post-Arabasta Arc
Harry (Fish-Man),Game,,,2001,,,Legend of the Rainbow Island
Haruta,Canon,553.0,0461,2009,His name was revealed in SBS Volume 58.,,
Hasami,Canon,176.0,0110,2001,His name was revealed by Nami in Chapter 180.,,
Hatcha,Canon,981.0,0987,2020,He first appeared as a silhouette in Chapter 980.,,
Hatchan,Canon,69.0,0031,1999,"Also known by his nickname ""Hachi"".",,
Hator,Game,,,2023,,,One Piece Odyssey
Hatsu,Game,,,2023,,,One Piece Odyssey
Hatsume,Canon,951.0,0951,2019,Her real name was revealed in Vivre Card.,,
Hattori,Canon,323.0,0230,2004,,,
Hawkman,Canon,959.0,0960,2019,His name was revealed in the Vivre Card databook.,,
Hazuki Akira,Spin-Off,,,2014,,2,MiraBato Strongest Strategy: MiraBato GO!
Heaby,Movie,,,2003,,3,Chopper's Kingdom on the Island of Strange Animals
Heat,Canon,500.0,0394,2008,His name was revealed in the Blue Deep databook,,
Hei,Game,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Helmeppo,Canon,3.0,0002,1997,,,
Helsing,Game,,,2002,,,One Piece: Treasure Wars
Henna Oyag,Filler,,,2000,,045,Arlong Park Arc
Henry,Game,,,2019,,,One Piece: World Seeker
Henzo,Filler,,,2003,,139,Ruluka Island Arc
Heppoko,Canon,2.0,0001,1997,His name was revealed in the Blue databook.,,
Hera,Canon,703.0,0633,2013,His name was written on his back along with his participant number.,,
Hera,Canon,1011.0,1028,2021,,,
Heracles,Canon,524.0,0420,2008,,,
Herb,Canon,287.0,0187,2003,Her name was revealed in the Blue Deep databook.,,
Hercules,Game,,,2020,,,One Piece: Fighting Path
Herring,OVA,,,1998,,,One Piece - Defeat Him! The Pirate Ganzack
Herz,Premier Show,,,2021,,,One Piece Premier Show 2021
Hewitt,Canon,223.0,0146,2002,His name was revealed in the Blue databook.,,
Hibari,Canon,1061.0,1090,2022,,,
Hidayu,Canon,926.0,0918,2018,His name was revealed in Vivre Card.,,
Hien,Game,,,2023,,,One Piece Odyssey
Higuma,Canon,1.0,0004,1997,,,
Hihimaru,Canon,910.0,0892,2018,Its name was revealed/given in Chapter 911.,,
Hikkomitsukumai,Canon,951.0,0951,2019,His name was revealed in the Vivre Card databook.,,
Hikoichi,Canon,180.0,0111,2001,His name was revealed in the Blue databook.,,
Hildon,Canon,444.0,0339,2007,,,
Hilmungardr,Canon,1128.0,,2024,,,
Hilt,Game,,,2002,,,Grand Line Dream Adventure Log
Himari,Novel,,,2024,,0,One Piece novel ZORO
Himuro,Canon,951.0,0951,2019,His name was revealed in Vivre Card.,,
Hina,Canon,171.0,0127,2001,,,
Hinokizu,Canon,1056.0,1083,2022,Mentioned only character. He was first mentioned by Eustass Kid in Chapter 1056.,,
Hip,Canon,1038.0,1065,2022,Her name was revealed in SBS Volume 102.,,
Hippan Natte,Canon,948.0,0947,2019,His name was revealed in Vivre Card.,,
Hippie,Canon,1122.0,,2000,"He originally appeared in Weekly Shonen Jump 2000 Issue 8, and was canonized in Chapter 1122.",,
Hippo Gentleman,Canon,451.0,0345,2007,His name was revealed by Perona in Chapter 466.,,
Hiramera,Canon,608.0,0527,2010,Her name was revealed in SBS Volume 65.,,
Hiriluk,Canon,140.0,0085,2000,,,
Hiro Gomon,Canon,1122.0,,2000,"He originally appeared in Weekly Shonen Jump 2000 Issue 8, and was canonized in Chapter 1122.",,
Hiroki,Game,,,2001,,,Legend of the Rainbow Island
Hiroshi,Canon,915.0,0901,2018,His name was revealed in Vivre Card.,,
Hitaki,Event,,,2017,,1,One Piece x Kyoto
Hitokui,Filler,,,2000,,045,Arlong Park Arc
Hitsugisukan,Canon,963.0,0968,2019,His name and full appearance were revealed in Chapter 967.,,
Hiwa,Novel,,,2021,,6,One Piece novel HEROINES
Ho,Canon,213.0,0128,2002,His name was revealed in the Blue databook.,,
Hocha,Canon,391.0,0275,2005,His name was revealed in Color Walk 4.,,
Hocker,Canon,12.0,0006,1997,Name was revealed in the Blue databook.,,
Hockera,Filler,,,2007,,326,Ice Hunter Arc
Hody Jones,Canon,608.0,0527,2010,He was officially introduced in Chapter 611.,,
Hoe,Canon,611.0,0530,2011,,,
Hogback,Canon,446.0,0340,2007,He was first mentioned by Hildon in Chapter 444.,,
Hoichael,Canon,432.0,0313,2006,He was first mentioned by Tilestone in Chapter 366.,,
Hoisassa,Canon,942.0,0939,2019,His name was revealed in Vivre Card.,,
Hoisha,Live Performance,,,2012,,,WANTED
Hokehontas,Filler,,,2001,,055,Warship Island Arc
Holed'em,Canon,915.0,0901,2018,He was first mentioned by Gazelleman in Chapter 914.,,
Holy,TV special,,,2003,,2,"A Father's Huge, HUGE Dream"
Holy,Canon,241.0,0155,2002,His name was revealed by Ohm in Chapter 251.,,
Home,Canon,921.0,0912,2018,Its name was revealed in Vivre Card.,,
Homey,Movie,,,2012,,12,One Piece Film: Z
Homey,Premier Show,,,2013,,5,One Piece Premier Show 2013
Homming,Premier Show,,,2024,,,One Piece Premier Show 2024
Hompton,Game,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Honey Queen,Movie,,,2001,,2,Clockwork Island Adventure
Hongo,Canon,1.0,0489,1997,His name was revealed in SBS Volume 101.,,
Honki,Movie,,,2006,,7,The Giant Mechanical Soldier of Karakuri Castle
Honma,Game,,,2003,,,One Piece: Ocean's Dream!
Honner,Canon,287.0,0187,2003,His name was revealed in the Vivre Card databook.,,
Honnete,Premier Show,,,2023,,,One Piece Premier Show 2023
Hop,Canon,1040.0,1112,2022,Her name was revealed in SBS Volume 102.,,
Horo,Movie,,,2019,,14,One Piece: Stampede
Horseman,Canon,1016.0,1037,2021,His name was revealed in the Vivre Card databook.,,
Hotdog,Movie,,,2002,,3,Chopper's Kingdom on the Island of Strange Animals
Hotei,Canon,951.0,0951,2019,His name was revealed in Chapter 986.,,
Hotori,Canon,261.0,0171,2003,,,
Hototogisu,Canon,766.0,0705,2014,Her name was revealed in SBS Volume 108.,,
Hound,Canon,1078.0,1111,2023,His name was revealed in Chapter 1108.,,
House,Canon,1038.0,1067,2022,Her name was revealed in SBS Volume 102.,,
Hublot,Canon,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Humphrey,Canon,598.0,0517,2008,His name was revealed in the Blue Deep databook.,,
Hustle,Canon,60.0,,1998,His name was revealed in the Blue databook.,,
Hyota,Canon,196.0,0120,2001,His name was revealed in the Blue databook.,,
Hyougoro,Canon,926.0,0919,2018,His full name was revealed in Chapter 934.,,
Hyoutauros,Canon,658.0,0582,2012,His name is mentioned by Luffy in Episode 582.,,
Hyouzou,Canon,607.0,0527,2010,His name was revealed in Chapter 610.,,
Ian,Filler,,,2003,,140,Ruluka Island Arc
Ibiributsu,Canon,926.0,0919,2018,His name was revealed in Vivre Card.,,
Ibusu,Canon,738.0,0671,2014,,,
Iceburg,Canon,323.0,0230,2004,,,
Ichika,Canon,608.0,0527,2010,,,
Ideaman,Canon,55.0,0025,1998,His name was revealed in the Blue databook.,,
Ideo,Canon,706.0,0633,2013,,,
Idor,Game,,,2023,,,One Piece Odyssey
Igaram,Canon,106.0,0064,1999,His real name was revealed introduced by Nefertari Vivi in Chapter 110.,,
Igaram Jr.,Premier Show,,,2018,,10,One Piece Premier Show 2018
Ikaros Much,Canon,611.0,0530,2011,,,
Ikemenes,Filler,,,2001,,055,Warship Island Arc
Ikidaore Joe,Game,,,2023,,,One Piece Odyssey
Ikidaore Jonathan,Game,,,2023,,,One Piece Odyssey
Ikidaore Joou,Game,,,2023,,,One Piece Odyssey
Ikidaore Joseph,Game,,,2023,,,One Piece Odyssey
Ikidaore Josh,Game,,,2023,,,One Piece Odyssey
Ikkaku,Canon,810.0,0757,2016,Her name was revealed in SBS Volume 83.,,
Ikkaku,Canon,915.0,0902,2018,His name was revealed in Vivre Card.,,
Il,Stage Show,,,2018,,,Tokyo One Piece Tower X DAZZLE Immersive Theater: When the Box of Time Opens
Immortal,Game,,,2019,,,One Piece: World Seeker
Imu,Canon,906.0,0885,2018,Their name was revealed in Chapter 908.,,
Inazuma,Canon,536.0,0438,2009,He reveals his name in Chapter 537.,,
Inbi,Canon,954.0,0955,2019,His name was revealed in Chapter 1030.,,
Inchikin,Stage Play,,,2014,,,Lucy & Lucy Coliseum the Battle!
Indigo,Canon,0.0,0429,2009,,,
Ingrigrimori,Filler,,,2001,,055,Warship Island Arc
Ingrimongri III,Filler,,,2001,,055,Warship Island Arc
Inhel,Canon,718.0,0648,2013,His name was revealed in SBS Volume 73.,,
Inoichibannosuke,Canon,917.0,0904,2018,His name was revealed in Vivre Card.,,
Insk,Game,,,2023,,,One Piece Odyssey
Inuarashi,Canon,808.0,0756,2015,He first appeared shadowed in Wanda's flashback in Chapter 806.,,
Inukai,Canon,932.0,0926,2019,His name was revealed in Vivre Card.,,
Inuppe,Canon,451.0,0345,2007,His name was revealed in the One Piece Manga Volume 48.,,
Ipponmatsu,Canon,97.0,0049,1998,,,
Ipponume,Canon,97.0,0049,1998,Her name was revealed in Vivre Card.,,
Isa,Canon,256.0,0168,2003,Her name was revealed in the Blue Deep databook.,,
Isaac,Game,,,2019,,,One Piece: World Seeker
Iscardunk,Filler,,,2001,,055,Warship Island Arc
Iscat,Canon,1127.0,,2024,Its name was revealed in Chapter 1128.,,
Ishigo Shitemanna,Canon,325.0,0231,2004,His name was revealed in the Blue Deep databook.,,
Ishilly,Canon,608.0,0527,2010,Her name was called out by another mermaid in Chapter 612.,,
Island Eater,Canon,129.0,0077,2000,His name was revealed in Vivre Card.,,
Islewan,Canon,553.0,0462,2009,His name was revealed in the Green databook.,,
Isoka,Filler,,,2003,,139,Ruluka Island Arc
Issho,Canon,701.0,0630,2013,His alias was revealed by Sakazuki in Chapter 700. His real name was revealed in Chapter 705.,,
Isuka,Canon,,,2018,She was first introduced in One Piece novel A Volume 1.,,
Itomimizu,Canon,306.0,0209,2004,,,
Ivan X,Canon,180.0,0111,2001,His name was revealed in the Blue databook.,,
Iwatobi,Canon,823.0,0777,2016,His name was revealed in Vivre Card.,,
Iyan'eno Chinode,Canon,1074.0,1106,2023,Her name was revealed in SBS Volume 107.,,
Izaya,Movie,,,2004,,5,The Cursed Holy Sword
Izou,Canon,553.0,0461,2009,His name was revealed in SBS Volume 58.,,
Jabari,Canon,956.0,0957,2019,His name was revealed in the Vivre Card databook.,,
Jabra,Canon,375.0,0264,2005,,,
Jack,Canon,801.0,0746,2015,He was first mentioned by one of his subordinates in Chapter 692.,,
Jack-in-the-Box,Canon,448.0,0342,2007,,,
Jackie,Game,,,2019,,,One Piece: World Seeker
Jacksonbanner,Canon,967.0,0968,2020,His name was revealed in SBS Volume 96.,,
Jaguar,Canon,1039.0,1067,2022,His name was revealed in SBS Volume 102.,,
Jaguar D. Saul,Canon,392.0,0275,2005,,,
Jaki,Canon,954.0,0955,2019,His name was revealed in Chapter 989.,,
Jalmack,Canon,588.0,0502,2010,,,
Jango,Canon,25.0,0009,1998,,,
Jarul,Canon,866.0,0836,2017,,,
Jaygarcia Saturn,Canon,233.0,0151,2002,His name was revealed in Chapter 1073.,,
Jean Ango,Canon,706.0,0639,2013,,,
Jean Bart,Canon,497.0,0391,2008,His name was revealed by Trafalgar D. Water Law in Chapter 505.,,
Jean Goen,Canon,526.0,0423,2008,His name was revealed in the Vivre Card databook.,,
Jean Noueilles,Canon,617.0,0555,2011,"Introduced as ""Captain Porcupinefish"" in Chapter 635. His real name was revealed in the Vivre Card databook.",,
Jeanne,Game,,,2019,,,One Piece: World Seeker
Jeep,Canon,906.0,0884,2018,Her name was revealed in the captions of Episode 889.,,
Jeet,Canon,706.0,0632,2013,,,
Jero,Canon,680.0,0606,2012,He was named in his anime concept art.,,
Jerry,Canon,362.0,0253,2005,,,
Jessica,Filler,,,2004,,196,G-8 Arc
Jesus Burgess,Canon,222.0,0146,2002,His name was revealed in Chapter 234.,,
Jew Wall,Canon,222.0,0145,2002,Mentioned only character. Their name was first mentioned in Chapter 222.,,
Jewelry Bonney,Canon,498.0,0392,2008,,,
Jibuemon,Canon,920.0,0911,2018,,,
Jige,Game,,,2001,,,Legend of the Rainbow Island
Jigoku Benten,Canon,931.0,0925,2019,Her name was revealed in the credits of Episode 925.,,
Jigokukamabuta Megatenpanchiro,Canon,943.0,0940,2019,His name was revealed in Vivre Card.,,
Jigoro,Canon,452.0,0346,2007,,,
Jigra,Canon,860.0,0830,2017,,,
Jill,Game,,,2019,,,One Piece: World Seeker
Jim,TV Special,,,2003,,3,Protect! The Last Great Performance
Jimmy Myers,Movie,,,2016,,13,One Piece Film: Gold
Jinbe,Canon,528.0,0416,2009,He was first mentioned by Yosaku in Chapter 69.,,
Jingoro,Game,,,2001,,,Set Sail Pirate Crew!
Jiro,Filler,,,2007,,326,Ice Hunter Arc
Jiron,Canon,1082.0,1116,2023,,,
Jobo,Canon,232.0,0150,2002,His name was revealed in the Blue Deep databook.,,
Jodie,Spin-Off,,,2022,,6,Shokugeki no Sanji
Johanna,Canon,1135.0,,2025,Her name was revealed in Chapter 1147.,,
John,Canon,450.0,0344,2007,He was first mentioned by Buggy in Chapter 233.,,
John,Game,,,2019,,,One Piece: World Seeker
John Giant,Canon,96.0,0045,1999,His name was revealed in the Blue databook.,,
Johnny,Canon,42.0,0019,1998,,,
Joke,TV special,,,2000,,1,Adventure in the Ocean's Navel
Jonathan,Filler,,,2004,,196,G-8 Arc
Jorge,Canon,353.0,0248,2005,His name was revealed in the Blue Deep databook.,,
Jorul,Canon,866.0,0836,2017,,,
Jose,Filler,,,2000,,051,Loguetown Arc
Joseph,Canon,705.0,0635,2013,His name was revealed in SBS Volume 104.,,
Josephine,Game,,,2001,,,Legend of the Rainbow Island
Joshu,Canon,1065.0,1095,2022,Its name was revealed in SBS Volume 106.,,
Jotto,TV special,,,2003,,3,Protect! The Last Great Performance
Joy Boy,Canon,628.0,0548,2011,His name was read on a Poneglyph by Nico Robin in Chapter 628.,,
Jozu,Canon,234.0,0151,2002,,,
Jube,Filler,,,2004,,213,Long Ring Long Land Arc
Jude,Game,,,2023,,,One Piece Odyssey
Judge,Game,,,2001,,,Legend of the Rainbow Island
Judy,Canon,499.0,0393,2008,His name was revealed in the Blue Deep databook.,,
Jugemu Jugemuko,Canon,954.0,0955,2019,Her name was revealed in the Vivre Card databook.,,
Jujiro,Canon,926.0,0918,2018,His name was revealed in the Vivre Card databook.,,
Juki,Canon,977.0,0982,2020,His name was mentioned by X Drake in Chapter 990.,,
Julian Hatt XIII,Spin-Off,,,2018,,01,Chin Piece
Julie,Game,,,2023,,,One Piece Odyssey
Julie,Movie,,,2008,,9,"Episode of Chopper Plus: Bloom in Winter, Miracle Sakura"
Julius,Canon,578.0,0489,2010,His name was revealed in the Green databook.,,
Jumper,Canon,980.0,1006,2020,His name was revealed in the Vivre Card databook.,,
Junan,Canon,611.0,0530,2011,His name was revealed in the Blue Deep databook.,,
Justy,Stage Play,,,2014,,,Lucy & Lucy Coliseum the Battle!
Jörmungandr,Canon,1142.0,,2025,,,
Kaabo,Game,,,2001,,,Legend of the Rainbow Island
Kabagorilla,Filler,,,2000,,018,Syrup Village Arc
Kabu,Canon,710.0,0640,2013,Real appearance revealed in Chapter 711.,,
Kadar,Canon,622.0,0541,2011,,,
Kadoyan,Filler,,,2002,,134,Post-Arabasta Arc
Kagero,Game,,,2019,,,One Piece: World Seeker
Kagero,Canon,920.0,0909,2018,His name was revealed in Vivre Card.,,
Kagikko,Canon,64.0,,1998,His name was revealed in the Blue databook.,,
Kaginote,Movie,,,2022,,15,One Piece Film: Red
Kaidou,Canon,795.0,0739,2015,He was first mentioned by Gecko Moria in Chapter 456. Part of his face was seen in Chapter 693 color spread.,,
Kaiman,Game,,,2023,,,"One Piece Odyssey, Reunion of Memories"
Kairen,Canon,608.0,0527,2010,Her name was revealed in SBS Volume 65.,,
Kairiken,Canon,498.0,0392,2008,His name was revealed in the Blue Deep databook.,,
Kairo Kureyo,Canon,535.0,0437,2009,His name was revealed in Vivre Card.,,
Kaku,Canon,927.0,0919,2018,,,
Kaku,Canon,323.0,0230,2004,,,
Kakukaku,Canon,334.0,0237,2004,His name was revealed in SBS Volume 43.,,
Kakunoshin,Canon,926.0,0918,2018,His name was revealed in Vivre Card.,,
Kalgara,Canon,286.0,0187,2006,He was first mentioned by Braham in Chapter 249.,,
Kalifa,Canon,323.0,0230,2004,,,
Kalik Meidara,Novel,,,2024,,1,One Piece novel Law: The Hour of Kikoku
Kamakiri,Canon,249.0,0163,2002,,,
Kamakirigirl,Canon,983.0,0991,2020,Her name was revealed in the Vivre Card databook.,,
Kamekichi,Canon,926.0,0918,2018,His name was revealed in Vivre Card.,,
Kamijiro,Canon,914.0,0901,2018,His name was revealed by Holed'em in Chapter 917.,,
Kamonegi,Filler,,,2001,,093,Arabasta Arc
Kamonohitsuji,Filler,,,2000,,018,Syrup Village Arc
Kaneshiro,Canon,72.0,0032,1999,His name was revealed in the Blue databook.,,
Kanezenny,Canon,398.0,0278,2006,Her name was revealed in the Blue Deep databook.,,
Kansho,TV Special,,,2015,,10,Adventure of Nebulandia
Kappa,Canon,167.0,0105,2001,,,
Karasu,Game,,,2002,,,One Piece: Treasure Wars
Karasu,Canon,593.0,0510,2010,His name and full appearance were revealed in Chapter 904.,,
Karasuke,Movie,,,2002,,3,Chopper's Kingdom on the Island of Strange Animals
Kardia,Premier Show,,,2021,,12,One Piece Premier Show 2021
Karin,Canon,1134.0,,2024,Her name was revealed in Chapter 1147.,,
Karma,Canon,553.0,0467,2009,His name was revealed in the Green databook.,,
Karoo,Canon,109.0,0065,1999,,,
Kasa,Canon,594.0,0511,2010,Her name was revealed in the Blue Deep databook.,,
Kasagoba,Canon,607.0,0527,2010,His name was revealed in the Blue Deep databook.,,
Kashigami,Canon,287.0,0187,2003,,,
Kashii,Canon,377.0,0265,2005,,,
Katabuti,Premier Show,,,2022,,13,One Piece Premier Show 2022
Katsuzo,Canon,960.0,0960,2019,,,
Kau Ra Kau,Game,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Kawamatsu,Canon,920.0,0910,2018,He was first mentioned by Kin'emon in Chapter 921.,,
Kaya,Canon,23.0,0009,1998,Her name was revealed in Chapter 24.,,
Kazekage,Canon,931.0,0925,2019,His name and its spelling were revealed in SBS Volume 97.,,
Kazenbo,Canon,1030.0,1055,2021,,,
Kazeno Minoru,Filler,,,2007,,336,Chopper Man
Kebi,Canon,164.0,0100,2001,His name was revealed in the Blue databook.,,
Kechatch,Canon,553.0,,2009,His name was revealed in the Green databook.,,
Kei,Live Performance,,,2015,,,Super Kabuki II: One Piece
Keith,Canon,809.0,0759,2015,His name was revealed in Vivre Card.,,
Kelly Funk,Canon,704.0,0633,2013,,,
Kent Beef Jr.,Movie,,,2016,,13,One Piece Film: Gold
Kentauros,Canon,180.0,0111,2001,His name was revealed in the Blue databook.,,
Kerodeek,Movie,,,2005,,6,Baron Omatsuri and the Secret Island
Kerojii,Movie,,,2005,,6,Baron Omatsuri and the Secret Island
Keroko,Movie,,,2005,,6,Baron Omatsuri and the Secret Island
Keroshot,Movie,,,2005,,6,Baron Omatsuri and the Secret Island
Kerville,Canon,379.0,0267,2005,His name was revealed in Chapter 399.,,
Kevin,Game,,,2023,,,One Piece Odyssey
Kiba,Canon,1142.0,,2025,,,
Kibagaeru,Canon,306.0,0208,2004,His name was revealed in the Blue Deep databook.,,
Kibin,Canon,594.0,0475,2010,His name was revealed in Episode 475 credits.,,
Kiev,Canon,325.0,0231,2004,His name was revealed in the Yellow databook.,,
Kikipatsu,Canon,925.0,0917,2018,His name was revealed in Vivre Card.,,
Kiku,Canon,515.0,0409,2008,Mentioned only character. Her name was seen on an arena battle board on Amazon Lily.,,
Kikuhime,Event,,,2017,,1,One Piece x Kyoto
Kikunojo,Canon,913.0,0899,2018,,,
Kikyo,Canon,514.0,0408,2008,,,
Killer,Canon,498.0,0392,2008,,,
Killer Giant,Filler,,,2000,,048,Loguetown Arc
Kilmie Back,Game,,,2019,,,One Piece: World Seeker
Kilomane,Game,,,2023,,,One Piece Odyssey
Kimel,Canon,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Kimmel,Game,,,2002,,,One Piece: Great Hidden Treasure of the Nanatsu Islands
Kin'emon,Canon,656.0,0580,2012,His name was revealed in Chapter 664.,,
Kinbo,Canon,917.0,0904,2018,His name was revealed in Vivre Card.,,
Kinderella,Canon,261.0,0778,2003,Her real name was revealed in Chapter 906.,,
King,Canon,925.0,0918,2018,He first appeared as a silhouette in Chapter 920.,,
King,Spin-Off,,,2017,,14,One Piece Party
Kinga,Canon,570.0,0484,2010,His name was revealed in the Green databook.,,
Kingbaum,Canon,836.0,0797,2016,,,
Kingdew,Canon,562.0,0461,2009,His name was revealed in SBS Volume 58.,,
Kinno,Premier Show,,,2022,,13,One Piece Premier Show 2022
Kinoconda,TV Special,,,2015,,10,Adventure of Nebulandia
Kinoko,Canon,536.0,0437,2009,His name was revealed in Vivre Card.,,
Kirin Lion,Movie,,,2002,,3,Chopper's Kingdom on the Island of Strange Animals
Kirinkodanuki,Canon,22.0,0018,1998,It was named in its anime concept art.,,
Kirintauros,Canon,658.0,0582,2012,His name is listed in the credits for Episode 582.,,
Kiruko,Movie,,,2016,,13,One Piece Film: Gold
Kisasa,Game,,,2001,,,Legend of the Rainbow Island
Kisegawa,Canon,929.0,0922,2019,,,
Kitajima,Movie,,,2009,,10,One Piece Film: Strong World
Kitton,Canon,523.0,0418,2008,His name was revealed in Episode 418 credits.,,
Kiwi,Canon,329.0,0233,2004,,,
Kizuna,One-Shot,,,2015,,,One Piece Card Battle Hobby Strongest Kizuna Boost
Koala,Canon,622.0,0541,2011,,,
Koba K,Movie,,,2008,,9,"Episode of Chopper Plus: Bloom in Winter, Miracle Sakura"
Kobato,Filler,,,2004,,198,G-8 Arc
Kobe,Canon,929.0,0922,2019,,,
Koby,Canon,2.0,0001,1997,,,
Kochi,Game,,,2023,,,One Piece Odyssey
Koda,Canon,285.0,,2003,Cover story character. Her name was revealed in the Blue Deep databook. She made a cameo appearance in Episode 381 in a newspaper.,,
Kodama,Filler,,,2002,,134,Post-Arabasta Arc
Kogani,Game,,,2023,,,One Piece Odyssey
Koito,Canon,930.0,0923,2019,Her name was revealed in the Vivre Card databook.,,
Koiwa,Canon,960.0,0960,2019,His name was revealed in the Vivre Card databook.,,
Kojuro,Canon,926.0,0918,2018,His name was revealed in the Vivre Card databook.,,
Kokoro,Canon,322.0,0229,2004,,,
Komachiyo,Canon,910.0,0892,2018,Its name was revealed in Chapter 911.,,
Komakkov,Canon,,,2024,He was first mentioned in SBS Volume 108.,,
Komane,Canon,903.0,0879,2018,,,
Komei,TV Special,,,2015,,10,Adventure of Nebulandia
Konbu,Canon,657.0,0582,2012,His name was revealed in Chapter 686.,,
Kong,Canon,0.0,0000,2009,He is formally introduced in Chapter 594.,,
